timestamp,route_id,vehicle_count,avg_speed,congestion_level,weather,temperature,fuel_price,event,is_weekend,road_condition,accident_reported,traffic_signal_delay,heavy_vehicle_count,pedestrian_count,latitude,longitude
2025-01-01 06:00:00,R1,80,58,0.2,Sunny,29,102,None,0,Good,0,5,6,12,16.4820,80.6090
2025-01-01 07:00:00,R1,100,50,0.4,Sunny,30,102,None,0,Good,0,12,10,20,16.4821,80.6092
2025-01-01 08:00:00,R1,120,40,0.6,Sunny,30,102,None,0,Good,0,25,18,40,16.4822,80.6093
2025-01-01 09:00:00,R1,180,30,0.8,Rainy,28,102,None,0,Wet,0,45,30,60,16.4823,80.6094
2025-01-01 10:00:00,R1,220,25,0.9,Rainy,27,102,Accident,0,Wet,1,60,40,80,16.4824,80.6095
2025-01-01 11:00:00,R1,150,38,0.5,Cloudy,29,101,None,0,Good,0,20,15,35,16.4825,80.6096
2025-01-01 12:00:00,R1,100,50,0.3,Sunny,32,101,None,0,Good,0,10,10,20,16.4826,80.6097
2025-01-01 13:00:00,R2,90,55,0.2,Sunny,33,101,None,0,Good,0,8,8,18,16.4827,80.6098
2025-01-01 14:00:00,R2,140,42,0.5,Cloudy,31,101,None,0,Moderate,0,18,20,30,16.4828,80.6099
2025-01-01 15:00:00,R2,210,28,0.85,Rainy,27,100,Festival,0,Wet,0,55,35,75,16.4829,80.6100
2025-01-01 16:00:00,R2,250,20,0.95,Rainy,26,100,Festival,0,Wet,1,75,50,100,16.4830,80.6101
2025-01-01 17:00:00,R2,170,35,0.6,Cloudy,28,100,None,0,Moderate,0,30,25,45,16.4831,80.6102
2025-01-01 18:00:00,R2,260,18,0.97,Rainy,25,100,Festival,0,Wet,1,80,55,110,16.4832,80.6103
2025-01-01 19:00:00,R2,230,22,0.9,Cloudy,26,100,None,0,Moderate,0,65,45,95,16.4833,80.6104
2025-01-01 20:00:00,R3,160,36,0.65,Cloudy,27,101,None,0,Moderate,0,28,22,48,16.4834,80.6105
2025-01-01 21:00:00,R3,130,45,0.45,Sunny,26,101,None,0,Good,0,15,14,25,16.4835,80.6106
2025-01-01 22:00:00,R3,90,55,0.25,Sunny,25,101,None,0,Good,0,7,8,14,16.4836,80.6107
2025-01-02 06:00:00,R1,85,57,0.25,Sunny,29,102,None,0,Good,0,6,7,13,16.4837,80.6108
2025-01-02 07:00:00,R1,110,48,0.42,Cloudy,30,102,None,0,Good,0,14,11,22,16.4838,80.6109
2025-01-02 08:00:00,R1,145,39,0.62,Rainy,29,102,None,0,Wet,0,27,20,42,16.4839,80.6110
2025-01-02 09:00:00,R1,190,29,0.82,Rainy,28,102,None,0,Wet,0,48,33,66,16.4840,80.6111
2025-01-02 10:00:00,R1,240,21,0.94,Rainy,27,102,Accident,0,Wet,1,70,48,88,16.4841,80.6112
2025-01-02 11:00:00,R1,170,34,0.7,Cloudy,29,101,None,0,Moderate,0,35,22,40,16.4842,80.6113
2025-01-02 12:00:00,R1,120,46,0.4,Sunny,32,101,None,0,Good,0,12,12,24,16.4843,80.6114
2025-01-02 13:00:00,R2,100,53,0.3,Sunny,33,101,None,0,Good,0,10,9,20,16.4844,80.6115
2025-01-02 14:00:00,R2,150,40,0.55,Cloudy,31,101,None,0,Moderate,0,22,18,34,16.4845,80.6116
2025-01-02 15:00:00,R2,220,26,0.88,Rainy,27,100,Festival,0,Wet,0,58,38,78,16.4846,80.6117
2025-01-02 16:00:00,R2,280,19,0.99,Rainy,26,100,Festival,0,Wet,1,85,60,120,16.4847,80.6118
2025-01-02 17:00:00,R2,200,31,0.75,Cloudy,28,100,None,0,Moderate,0,40,28,55,16.4848,80.6119
2025-01-02 18:00:00,R3,270,17,0.98,Rainy,25,100,Concert,0,Wet,1,88,58,130,16.4849,80.6120
2025-01-02 19:00:00,R3,240,23,0.9,Cloudy,26,100,Concert,0,Moderate,0,70,48,102,16.4850,80.6121
2025-01-02 20:00:00,R3,180,34,0.68,Cloudy,27,101,None,0,Moderate,0,30,25,52,16.4851,80.6122
2025-01-02 21:00:00,R3,140,44,0.5,Sunny,26,101,None,0,Good,0,16,15,28,16.4852,80.6123
2025-01-02 22:00:00,R3,95,56,0.22,Sunny,25,101,None,0,Good,0,8,9,16,16.4853,80.6124
